CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
510.0,490.0,565.0,635.0,659.0,679.0,860.0,1427.0,burned
508.0,503.0,548.0,628.0,680.0,679.0,770.0,1376.0,burned
514.0,492.0,577.0,619.0,688.0,667.0,891.0,1392.0,burned
560.0,533.0,594.0,623.0,698.0,682.0,919.0,1395.0,burned
504.0,529.0,600.0,631.0,684.0,716.0,861.0,1528.0,burned
502.0,511.0,543.0,634.0,649.0,705.0,885.0,1348.0,burned
531.0,507.0,537.0,631.0,675.0,714.0,877.0,1430.0,burned
515.0,514.0,554.0,610.0,681.0,690.0,869.0,1375.0,burned
502.0,513.0,589.0,667.0,707.0,725.0,897.0,1675.0,burned
506.0,496.0,564.0,635.0,652.0,673.0,860.0,1522.0,burned
520.0,506.0,559.0,618.0,667.0,673.0,840.0,1455.0,burned
541.0,516.0,577.0,620.0,687.0,722.0,866.0,1436.0,burned
547.0,493.0,569.0,631.0,680.0,698.0,848.0,1457.0,burned
565.0,497.0,541.0,609.0,665.0,667.0,852.0,1438.0,burned
567.0,519.0,562.0,628.0,647.0,687.0,806.0,1395.0,burned
560.0,502.0,569.0,632.0,724.0,708.0,840.0,1383.0,burned
605.0,532.0,570.0,638.0,688.0,722.0,858.0,1421.0,burned
552.0,528.0,569.0,625.0,675.0,721.0,869.0,1434.0,burned
537.0,517.0,559.0,621.0,673.0,715.0,873.0,1462.0,burned
527.0,502.0,548.0,635.0,725.0,693.0,897.0,1444.0,burned
511.0,485.0,570.0,642.0,673.0,698.0,892.0,1533.0,burned
547.0,488.0,559.0,640.0,666.0,673.0,879.0,1519.0,burned
580.0,492.0,548.0,593.0,661.0,671.0,869.0,1470.0,burned
495.0,508.0,541.0,629.0,650.0,698.0,831.0,1394.0,burned
487.0,502.0,549.0,634.0,686.0,719.0,876.0,1385.0,burned
585.0,532.0,575.0,636.0,700.0,724.0,824.0,1407.0,burned
549.0,517.0,564.0,641.0,678.0,729.0,858.0,1462.0,burned
528.0,516.0,571.0,635.0,675.0,732.0,870.0,1504.0,burned
563.0,472.0,554.0,654.0,738.0,660.0,925.0,1533.0,burned
540.0,508.0,548.0,612.0,674.0,669.0,850.0,1462.0,burned
531.0,503.0,568.0,601.0,672.0,691.0,862.0,1391.0,burned
474.0,477.0,571.0,636.0,699.0,680.0,874.0,1472.0,burned
503.0,480.0,584.0,626.0,679.0,686.0,859.0,1397.0,burned
519.0,497.0,576.0,623.0,687.0,687.0,820.0,1478.0,burned
500.0,519.0,566.0,690.0,701.0,701.0,953.0,1611.0,burned
521.0,485.0,600.0,632.0,652.0,710.0,833.0,1451.0,burned
520.0,487.0,606.0,642.0,673.0,719.0,880.0,1463.0,burned
568.0,530.0,554.0,606.0,657.0,673.0,816.0,1161.0,burned
587.0,533.0,578.0,641.0,663.0,667.0,760.0,1221.0,burned
594.0,553.0,595.0,612.0,669.0,677.0,808.0,1220.0,burned
558.0,552.0,587.0,627.0,645.0,671.0,788.0,1146.0,burned
592.0,510.0,569.0,628.0,659.0,671.0,752.0,1170.0,burned
572.0,515.0,587.0,622.0,662.0,666.0,767.0,1181.0,burned
583.0,527.0,588.0,636.0,676.0,671.0,807.0,1156.0,burned
567.0,545.0,566.0,616.0,689.0,674.0,790.0,1208.0,burned
569.0,542.0,562.0,608.0,646.0,664.0,685.0,1178.0,burned
578.0,549.0,584.0,630.0,632.0,662.0,780.0,1112.0,burned
585.0,520.0,572.0,632.0,664.0,679.0,728.0,1150.0,burned
561.0,522.0,585.0,629.0,670.0,683.0,751.0,1174.0,burned
546.0,529.0,584.0,623.0,671.0,674.0,785.0,1159.0,burned
536.0,554.0,558.0,625.0,674.0,664.0,770.0,1198.0,burned
592.0,549.0,581.0,637.0,690.0,690.0,805.0,1215.0,burned
575.0,564.0,602.0,653.0,735.0,711.0,829.0,1255.0,burned
556.0,522.0,575.0,595.0,629.0,638.0,742.0,1101.0,burned
575.0,541.0,580.0,620.0,660.0,666.0,738.0,1145.0,burned
571.0,547.0,564.0,620.0,662.0,681.0,720.0,1163.0,burned
604.0,535.0,586.0,649.0,673.0,694.0,773.0,1199.0,burned
571.0,553.0,584.0,635.0,704.0,683.0,730.0,1181.0,burned
602.0,573.0,580.0,640.0,722.0,683.0,776.0,1169.0,burned
573.0,551.0,594.0,668.0,726.0,712.0,821.0,1145.0,burned
586.0,549.0,602.0,641.0,672.0,698.0,816.0,1224.0,burned
577.0,546.0,584.0,611.0,673.0,691.0,792.0,1249.0,burned
594.0,546.0,584.0,639.0,681.0,701.0,826.0,1240.0,burned
554.0,506.0,560.0,606.0,643.0,665.0,750.0,1179.0,burned
539.0,530.0,567.0,608.0,634.0,662.0,761.0,1162.0,burned
619.0,520.0,587.0,622.0,645.0,656.0,714.0,1077.0,burned
565.0,547.0,586.0,647.0,680.0,674.0,799.0,1149.0,burned
518.0,555.0,596.0,640.0,697.0,692.0,750.0,1195.0,burned
532.0,547.0,586.0,635.0,645.0,697.0,764.0,1151.0,burned
599.0,544.0,600.0,632.0,701.0,667.0,789.0,1196.0,burned
605.0,544.0,598.0,640.0,704.0,690.0,782.0,1175.0,burned
586.0,543.0,575.0,641.0,655.0,694.0,798.0,1289.0,burned
624.0,546.0,579.0,630.0,675.0,731.0,772.0,1185.0,burned
616.0,562.0,582.0,649.0,692.0,712.0,738.0,1265.0,burned
556.0,533.0,564.0,606.0,648.0,655.0,752.0,1138.0,burned
539.0,546.0,569.0,611.0,645.0,662.0,742.0,1134.0,burned
626.0,502.0,581.0,627.0,642.0,660.0,727.0,1062.0,burned
